微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
［泰国不只有白百合，还有热巴、杨幂和王菲，为什么明星钟爱泰国？］http://t.cn/RXVRHgL ?,2017-04-17 11:00,微博 weibo.com,http://weibo.com/1878452871/EETOgjqPo,旅游卫视中国旅游新闻,87906,女,北京,媒体认证,原创,,,,,
20万产品经理居然一本正经的研究了情趣酒店的选址、装修等问题[摊手][摊手][摊手]发布了头条文章：《在这里，“摸臀杀”只是小儿科》 #白百合出轨# http://t.cn/RXVRTV3 ?,2017-04-17 10:59,微博 weibo.com,http://weibo.com/1742570801/EETObB9pL,PMCAFF,31596,女,北京,团体认证,原创,,,,,
"#白百合离婚声明#  健全的家庭结构对子女起到积极的促进作用，不健全的家庭结构分为两种：1，虽然保持着夫妻关系但是情感破裂的家庭，他们相互攻击谩骂对子女造成潜移默化影响
2单亲或者残缺家庭：过于保护或者漠视造成孩子性格上的缺陷 ?",2017-04-17 10:41,专业版微博,http://weibo.com/5747328512/EETGDhunS,预医到家,2051,女,安徽 合肥,企业认证,原创,,,,,
【羊铁君赏版】白百合与陈羽凡已经协议离婚2年了？人生如戏，全靠演技 ?,2017-04-17 10:30,微博 weibo.com,http://weibo.com/1689041330/EETC5kcI3,羊城地铁报,1243324,男,广东 广州,媒体认证,原创,,,,,
//@励志的话: 好看哟，推荐给大家阅读！[赞][赞],2017-04-17 10:12,微博 weibo.com,http://weibo.com/2714693260/EETuShwCr,失恋疗心话,320414,女,福建 福州,普通用户,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
白百何发表声明， 对这件事给陈羽凡、孩子以及双方父母造成的影响感到抱歉。  http://t.cn/RXV0EDt //@直播南京官方版:陈羽凡凌晨回应近期事件：2015就与白百合协议离婚，将无限时退出娱乐圈。//@直播南京官方版:陈羽凡凌晨回应近期事件：2015就与白百合协议离婚，将无限时退出娱乐圈。,2017-04-17 09:46,iPhone 6s,http://weibo.com/1807431510/EETkotBjQ,直播南京官方版,2538922,男,江苏 南京,媒体认证,转发,善爱为本度此生[心]感恩爱我的所有人～'涛哥'一直在！All for love… http://t.cn/RX5Xe5y . ?,iPhone 7 Plus,2017-04-16 01:47,陈羽凡,http://weibo.com/2113045567/EEGLn6ydW
//@励志的话:好看哟，推荐给大家阅读！[赞][赞],2017-04-17 09:20,iPhone 6s Plus,http://weibo.com/2764572100/EET9Xk5gn,暗恋砖家,1112051,女,海外,普通用户,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
//@励志的话:好看哟，推荐给大家阅读！[赞][赞],2017-04-17 09:03,iPhone 6s Plus,http://weibo.com/2293172422/EET2PjQX9,全球搞笑趣事,1026950,女,广东,名人认证,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
//@思想禅师:好看哟，推荐阅读！[赞][赞],2017-04-17 08:58,iPhone客户端,http://weibo.com/2851148220/EET133mMa,伤感笔记,781490,女,湖南,名人认证,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
#白百合离婚声明##陈羽凡白百何离婚#这两天都是这个热点，赚足了眼球，还都在相互道歉，下一步将如何发展？复合？祝好？拭目以待…… ?,2017-04-17 08:48,Android客户端,http://weibo.com/1883742987/EESWL7FkS,熄灭了,101187,男,上海 黄浦区,名人认证,原创,,,,,
//@励志阅者:好看哟，推荐给大家阅读！[赞][赞],2017-04-17 08:34,iPhone客户端,http://weibo.com/2851148220/EESReFzB6,伤感笔记,781490,女,湖南,名人认证,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
//@励志的话:好看哟，推荐给大家阅读！[赞][赞],2017-04-17 08:32,iPhone客户端,http://weibo.com/2851148220/EESQkw7ly,伤感笔记,781490,女,湖南,名人认证,转发,【白百合离婚像......我同情他！！】 结婚不过两年，她便策.划.了.出.轨，甚至还.怀.了.孕。离.婚.后，前.夫.却.纠.缠.不.休，只为当初…… http://t.cn/RXcVpXR ?,微博 weibo.com,2017-04-16 19:49,恋旧的高贵的百灵鸟,http://weibo.com/5987120153/EENQy8FQS
[弱],2017-04-17 08:32,微博 weibo.com,http://weibo.com/1400887105/EESQoBO7O,司马平邦,2953917,男,北京 朝阳区,名人认证,转发,卓伟问答之前爆料了鹿晗，杨幂刘恺威，白百合陈羽凡等人的绯闻后，又来爆料赵丽颖了！#影响剧大# 好像一个算卦先生，满足每天的求知者！[二哈] ?,iPhone 6 Plus,2017-04-16 23:16,影响剧大,http://weibo.com/5038942729/EEPcB8Wf0
转发微博,2017-04-17 07:53,双卡双待的iPhone 6s Plus,http://weibo.com/2009665842/EESAmyJI1,Bboy土豆的,2415,男,黑龙江 哈尔滨,名人认证,转发,和最近娱乐圈闹得风风火火的白百合何出轨相比，蔡明的新作《念念不忘》真是三观极正。死后的蔡大妈去了“天堂”，但她放心不下老伴，希望给老伴找个陪伴的人。她为完成心愿重返人间，居然发现……？！全程温情催泪，笑点不滥，泪点不俗，原来蔡明不毒舌也这么好看！http://t.cn/RXcdDLg ?,,2017-04-16 22:49,娱乐圈外汉,http://weibo.com/1844235935/EEP1PB1qX
我问禅师：“白百合都出轨了，是否还可以相信爱情？ ” 禅师微微一笑，指着天空一只飞鸟道:“看看它你就明白了。” 我仰望许久，若有所思道:“大师的意思是否是说:爱的意义就是不受束缚让它自由飞翔？” 大师闭上眼睛道:“非也！我意思是:人家出轨关你鸟事！！[憨笑][憨笑][憨笑][憨笑][憨笑][憨笑]...全文： http://m.weibo.cn/2270478701/4097424194304113 ?,2017-04-17 07:31,小米手机4c,http://weibo.com/2270478701/EESrNi3Hb,蘑菇种哪了,36411,男,辽宁 本溪,普通用户,原创,,,,,
美女，很漂亮，在北京这样的大城市，经常要辗转几个回合才能回家／上班／其他！我坐在休息椅子上，经常看到有人坐在行李上！不需要顾及其太多他人的看法，也没有时间和精力去感受别人的感受！不过大部分年轻人还是喜欢大城市的空间与机会，奔跑与向往！#白百合离婚啦#与我最求的#精语门# 没啥关系呀?...全文： http://m.weibo.cn/1288496124/4097359971498460 ?,2017-04-17 03:16,HUAWEI Mate 9,http://weibo.com/1288496124/EEQMd6hOI,柏君的微薄,21415,男,北京 海淀区,名人认证,原创,,,,,
如果老了以后，能有一个人，一起走下去多好,2017-04-17 00:16,iPhone 7 Plus,http://weibo.com/1264655111/EEPAWcnkR,昊天小怪,72807,男,上海 浦东新区,名人认证,转发,和最近娱乐圈闹得风风火火的白百合何出轨相比，蔡明的新作《念念不忘》真是三观极正。死后的蔡大妈去了“天堂”，但她放心不下老伴，希望给老伴找个陪伴的人。她为完成心愿重返人间，居然发现……？！全程温情催泪，笑点不滥，泪点不俗，原来蔡明不毒舌也这么好看！http://t.cn/RXcdDLg ?,,2017-04-16 22:49,娱乐圈外汉,http://weibo.com/1844235935/EEP1PB1qX
#桂林互动#前有白百合发文承认离婚，后有师大妹子发文寻找真爱，唉，真是让桂桂感叹爱情的千千万万个形态。愿天下有情人终成眷属[心]//@女神斤:小哥哥是坐着我的座位的，我后来才找到座位就坐了他的座位，他穿着大概是灰黑色的妮子衣（？），穿着特步运动鞋，一个小时的车程一直在笔记本电脑上画图。,2017-04-17 00:16,Android,http://weibo.com/1948637954/EEPBevelH,桂林校园,84650,男,广西 桂林,媒体认证,转发,自从三月三遇到这个小哥哥，就无法忘记啊啊啊啊啊啊！当时人怂没敢搭话，后悔死了，求这个小哥哥的信息[悲伤][悲伤]@桂林校园 ?,三星Galaxy NOTE III,2017-04-16 23:56,女神斤,http://weibo.com/2742511671/EEPsXvecB
经常在微博看到林更新被人黑，但依然经常逗逼，毫无违和感，所以虽然这次白百合也被黑很惨，但感情世界，私人生活，永无对错，毕竟人家没有影响大家什么，不对吗？ ?,2017-04-16 23:38,iPhone 7,http://weibo.com/2016566571/EEPlF9FCl,西西girl,109199,女,海外,名人认证,原创,,,,,
"【不要再拿白百合之类的绯闻大片来恶心我们的网络】
http://t.cn/RXVv8e6
(想看更多合你口味的内容，马上下载 今日头条)
http://t.cn/zRoS8JH ?",2017-04-16 23:16,HUAWEI Mate 9,http://weibo.com/1700777265/EEPcMj5r4,蒋勇,88503,男,四川 成都,名人认证,原创,,,,,
卓伟问答之前爆料了鹿晗，杨幂刘恺威，白百合陈羽凡等人的绯闻后，又来爆料赵丽颖了！大家觉着这样说好吗[二哈][二哈]？ ?,2017-04-16 22:59,iPhone 6,http://weibo.com/2453653365/EEP5R2G9r,圈内星探,1444517,女,上海,名人认证,原创,,,,,
我发表了头条文章:《不要再拿白百合之类的绯闻大片来恶心我们的网络》 http://t.cn/RXcgNil ?,2017-04-16 22:46,HUAWEI Mate 9,http://weibo.com/1700777265/EEP0BmGNX,蒋勇,88503,男,四川 成都,名人认证,原创,,,,,
白百合终发文回应承认离婚：为了孩子没有对外公布，向大家诚挚道歉[心]有网友提问卓伟，卓伟答：据确切消息，他们分居两年多，没有办离婚手续。 ?,2017-04-16 22:43,大咸鱼的iPhone 6s,http://weibo.com/2420522411/EEOZfchCF,哎呀电影,247123,女,上海 杨浦区,普通用户,原创,,,,,
我在看【白百合被偷拍高清图曝光（第三波！）】，分享给你，快来看！ http://t.cn/RXcKBud ?,2017-04-16 21:08,中兴天机7Android,http://weibo.com/1483330984/EEOmI6NxR,侯宁,2352714,男,北京,名人认证,原创,,,,,
我看好多人说白百合和小狼狗丑？白百合在女星里不算特好看的，但总比路人强多了吧，相由薪生啊，现在已经比刚出道时好看不少啦。那个小狼狗，我好几个朋友都说难看，我看粉丝也都说难看，我咋觉得身材超过99%的男人，脸好过95%的男人？气质是差了点儿，像个痞子。 ?,2017-04-16 20:52,黑道粉猪的iPhone 7 Plus,http://weibo.com/1660469195/EEOgqiXDJ,三金冠巫婆大大的美肤沙龙,156007,女,海外 其他,企业认证,原创,,,,,
回复@郑Q老师:江中的米西我个人觉得一般，高于15倍不考虑//@郑Q老师:牛老师，因为工作，不能看您的直播，只能看回放了。对于江中药业，集团公司的江中米稀代言人白百合对公司股价有影响吗？米稀销量非常好，对于上市公司有影响吗？您怎么看江中的合理估值？//@牛春宝:感谢各位捧场[红包飞],2017-04-16 20:23,iPhone 7 Plus,http://weibo.com/1320153481/EEO4DhnUV,牛春宝,58734,男,上海 浦东新区,名人认证,转发,万霁资产二季度策略报告直播 #股票直播#（来自http://t.cn/RXUvcaK）APP下载地址：http://t.cn/RqiDJg5 http://t.cn/R2Wxpw9 ?,一直播,2017-04-14 10:56,牛春宝,http://weibo.com/1320153481/EErvjDIay
老梁谈白百合出轨事件。[摊手]http://t.cn/RXqdVi0 ?,2017-04-16 20:17,搞笑达人,http://weibo.com/2615812803/EEO1RlKqW,搞笑冷兔,862611,女,浙江 杭州,名人认证,原创,,,,,
羽凡退出娱乐圈？！因为“白百合出轨”这事儿？！不至于啊！[吃惊],2017-04-16 20:06,微博 weibo.com,http://weibo.com/1222371415/EENXr5MRc,温星0528,32366,男,云南 昆明,名人认证,转发,【陈羽凡退出娱乐圈 胡海泉：娱乐有圈音乐无界】16日凌晨，陈羽凡发布视频，首度澄清传闻，2015年陈羽凡白百何离婚，白百何并非婚内出轨。同时，陈羽凡宣布，“我将无限期退出娱乐圈”。视频↓↓羽泉组合另一位成员胡海泉微博发布歌曲《我们俩》，并这样回应[泪]↓↓http://t.cn/RXth4ze ?,专业版微博平台,2017-04-16 10:47,新浪新闻,http://weibo.com/2028810631/EEKiu2l1m
//@SAKURAWAY: 所以有人说中国女权过分了真是放屁，中国女权运动还远远远远不够。事实上女权和同志平权性解放婚姻革命都是要一起进行，互帮互助，力往一处使，共同抵御根深蒂固的男权思想的荼毒。,2017-04-16 19:36,微博 weibo.com,http://weibo.com/1554740364/EENLffbZN,夏树,24321,男,北京 朝阳区,普通用户,转发,白百合声明下面留言翻了一圈气到爆筋，对她进行荡妇羞辱的大多都是女性，女人竟然会对已经离婚的其他女人这么狠毒，平时国内女权工作简直全白做了，这些人自己都不把自己当人何谈女权。 ?,微博 weibo.com,2017-04-16 19:03,音乐车祸现场,http://weibo.com/2822914093/EENy6zUSG
其实白百合与陈羽凡离婚但选择不公开，并没有什么奇怪的，明星也是人，也会经历各种年华岁月，比如今天周渝民女儿上了热搜，大家都纷纷送祝福，可假设真有一天，也遇到了变迁，又有几人会说一句，一别两宽？你永远是为自己而活，忠于自己就好了。 ?,2017-04-16 19:35,iPhone 7,http://weibo.com/1238726334/EENL13p6j,烟花妹妹,576799,女,海外,名人认证,原创,,,,,
平时常听公司红人们说，自己要拍戏演电影，虽然我不认可网红可以明星化，但这个周末还是跟某白百合小号与王珞丹合体，两天两夜亲身开发了一套明星网红课程，完全颠覆了我对演员二字的理解。所有的舞台梦想来自，对每一次社会表演的珍惜，不管是一次直播，登台，领奖，还是采访，甚至是生活中每一次行走...全文： http://m.weibo.cn/1224818760/4097237829466140 ?,2017-04-16 19:11,iPhone 7(亮黑),http://weibo.com/1224818760/EENBcDIzG,黄博WongPok,1763755,男,四川,名人认证,原创,,,,,
全世界都欠白百合一个奥斯卡小金人,2017-04-16 19:09,微博 weibo.com,http://weibo.com/2510881152/EENAqbhUf,秦风热线1066,2219,女,陕西 西安,媒体认证,转发,白百何发文承认离婚，出轨事件后首次回应：为了给元宝的童年一个完整的家庭，我们没有对外公布这一事实，为此给大家带来所有的麻烦，向大家诚挚道歉！哎，从出轨到离婚，这几天是把大家搞得云里雾里呀，白百何小号曝光还大胆谈出轨，现在好了弄得满城风雨，还背了一身骂名，人气直线下降，真是作茧自缚...全文： http://m.weibo.cn/5111326435/4097181059526908 ?,360安全浏览器,2017-04-16 15:25,聊娱君,http://weibo.com/5111326435/EEM7DDYnO
【#白百合发文承认离婚#：家事留给我们处理】4月16日中午，白百何在自己微博首度对“出轨门”事件作出回应。称：“感谢所以关心和爱护我们的人，让你们担心了。对这件事情给羽凡造成的影响感到抱歉，对元宝和四位爸妈感到抱歉。”http://t.cn/RXcwpQc ?,2017-04-16 18:12,微博 weibo.com,http://weibo.com/2792675770/EENdo5mpF,消费者报道,403472,男,广东,媒体认证,原创,,,,,
"白百合小号又是什么？[黑线][黑线][黑线]
一天到晚心疼王宝强 心疼佟丽娅 心疼杨幂马伊俐
现在又心疼陈羽凡 一堆年薪不到20万的老百姓
天天心疼一群年收入过亿的富豪 
有空多心疼心疼自己 心疼心疼父母吧 ?",2017-04-16 17:59,萌哥的iPhone 7 Plus,http://weibo.com/1222306454/EEN8cyKm2,何亚萌SAVILA,656675,女,北京 朝阳区,名人认证,原创,,,,,
这次的事件我感觉网民是比较理智的，一直在等一个结果。话说回来，人家离没离婚，跟你卓老师，有什么关系？最后倒好，毁掉了一个中国好演员，让我们青春记忆的“羽泉”退出娱乐圈！【几个朋友跟我说，以后拍戏，还是找没有结婚的单身狗比较靠谱----这是逼着演员、艺人们不结婚吗？】#白百合离婚声明# ,2017-04-16 17:55,iPhone 7 Plus,http://weibo.com/1881576793/EEN6ohaYJ,王良Andy,299709,男,北京,名人认证,转发,分享图片 ?,iPhone 7,2017-04-16 14:36,白百何,http://weibo.com/1642630543/EELNIb99F
本来连白百合和王珞丹都分不清楚，斗胆说两句吧：其实唯一正确的选择，就是在2015年的时候，双方大大方方地宣布分手，并真诚祝福对方。然后，以保护孩子之名，恳求媒体不要过度打扰和炒作。我相信即使如卓伟，也不会过分。本来是公众人物，偏要各种演技，被人揭穿又诅咒发誓，也太不尊重吃瓜群众了吧？ ?,2017-04-16 17:53,iPad客户端,http://weibo.com/1495462210/EEN5DkimO,王以超,199190,男,北京 东城区,名人认证,原创,,,,,
"【白百合发声回应""出轨事件""】据@华西都市报  ，白百合发声明回应""出轨事件""：对陈羽凡造成的影响感到抱歉。 http://t.cn/RXtF7WI",2017-04-16 17:13,红米Note 3,http://weibo.com/2232625672/EEMPa69EW,安庆天天直播,199259,男,安徽 安庆,媒体认证,转发,【陈羽凡凌晨发视频：与白百何2015年已离婚[伤心]】4月16日凌晨，@陈羽凡 发表视频声明：“为了可以陪伴我的家人，为了可以陪伴孩子成长更专注，接下来我将无限时退出娱乐圈。” 视频中陈羽凡再次回应“白百何出轨事件”称两人2015年已协议离婚。http://t.cn/RX5K4oQ（羊城晚报） ?,微博 weibo.com,2017-04-16 10:39,安庆天天直播,http://weibo.com/2232625672/EEKfxaPTN
"//@华西都市报: 【白百合发声回应""出轨事件""】白百合发声明回应""出轨事件""：对陈羽凡造成的影响感到抱歉  http://t.cn/RXtW2J1  //@华西都市报: #网曝白百合婚内出轨#4月16日凌晨，陈羽凡发视频称“2015 年已与白百何协议离婚，为陪伴家人和孩子成长将无限时退出娱乐圈。”",2017-04-16 17:03,微博 weibo.com,http://weibo.com/1971299060/EEML6k9q0,安庆网络广播电视,192008,男,安徽 安庆,媒体认证,转发,善爱为本度此生[心]感恩爱我的所有人～'涛哥'一直在！All for love… http://t.cn/RX5Xe5y . ?,iPhone 7 Plus,2017-04-16 01:47,陈羽凡,http://weibo.com/2113045567/EEGLn6ydW
近日看到朋友圈，微博火爆的话题，白百合出轨了，和陈羽凡早就离婚了的话题，评论都达上万，甚至更多，各位朋友大神忍不住的评论，虎喷。 在这里我有点自己的想法，人家出轨不出轨，离婚不离婚是人家的事情，没有必要拿你个人的观点来虎喷评论，为什么 http://t.cn/RXtDS6n ?,2017-04-16 17:02,百度分享,http://weibo.com/2033709020/EEML1yQ0k,太行山角下的电商人,154873,男,北京,名人认证,原创,,,,,
回复@一只帅帅的男孩:相当震惊//@一只帅帅的男孩:他两年前就离婚了 结果还和白百合一起参加跑男 还声称想要给儿子生个妹妹 还参加金星秀 你们早就离婚了却以夫妻的名义参加各种综艺圈钱 你们这是欺骗观众 也是对观众的不尊重 这和欺诈有啥区别[摊手],2017-04-16 16:50,iPhone 6s,http://weibo.com/1706987705/EEMG06v8p,六六,12193039,女,上海 浦东新区,名人认证,转发,【#陈羽凡白百何离婚#后仍秀恩爱 遭网友质疑】4月16日，陈羽凡发视频声明自己和白百何已于2015年协议离婚，并表示两人未将离婚一事公开是要保护孩子成长。有网友扒出陈羽凡在今年1月还发博怒斥过造谣两人离婚的传闻，而白百何在2016年还常发布有关“老公”的微博，引发网友热议。http://t.cn/RX5sHca ?,微博 weibo.com,2017-04-16 13:32,新浪娱乐,http://weibo.com/1642591402/EELnsBycA
毛线，哥分析危机处理策略//@邹彦军ii:这微博 你是再刷存在感？,2017-04-16 16:46,小米MIX概念手机,http://weibo.com/1890124614/EEMEtzr08,钱皓-互联网分析师,515026,男,上海 徐汇区,名人认证,转发,【跟陈羽凡学危机处理：好男人形象妥妥地坐实】1）直击痛点：2015年就协议离婚了，自然谈不上#白百合出轨# ；2）化危为机：主动发声保护家人和孩子，顺便强化自己好男人形象；3）围魏救赵：成功转移舆论注意力，顺带拉了前任一把。 ?,小米MIX概念手机,2017-04-16 13:25,钱皓-互联网分析师,http://weibo.com/1890124614/EELkJjIUt
白百何发文承认离婚：为了孩子没有对外公布  可是证据呢？羽凡是被妥协了，早就预料到的，如果羽凡不出来说他们俩离婚了，白百合将身败名裂永远在公共场合抬不起头来，如果真正在15年离婚了，白百合会第一个跳出来解释，发声明[摊手][摊手]陈羽凡白百何离婚 ： “羽泉”永远不会解散！二十周年巡演暂时...全文： http://m.weibo.cn/2756869861/4097201221582401 ?,2017-04-16 16:45,360安全浏览器,http://weibo.com/2756869861/EEMEa6DEB,电视微头条,458565,女,北京 东城区,名人认证,原创,,,,,
白百合的破事天天刷屏！突然好讨厌这个人啊[笑cry][笑cry][笑cry][笑cry][笑cry]烦死了！还出来声明个毛线！好烦[笑cry][笑cry][笑cry] ?,2017-04-16 16:37,iPhone 6 Plus,http://weibo.com/1809613775/EEMAB43Xv,A-inn,235,女,香港,普通用户,原创,,,,,
【白百合首次回应：为了孩子没有公开离婚——唉 舐犊情深 没毛病】http://t.cn/RXtjsWx ?,2017-04-16 16:30,iPhone 6,http://weibo.com/1703371307/EEMy24V5m,北京晚报,10824267,男,北京,媒体认证,原创,,,,,
关于白百何和陈羽凡是否真离婚，白百合和陈羽凡都承认离婚了，只有卓伟不承认她俩离婚了，有人问我到底相信谁？我可以告诉你们，从概率来讲，当然相信白百何和陈羽凡，因为两人同时撒谎概率不大，而卓伟是为了一个谎言，再用十个谎言去遮掩？[doge] ?,2017-04-16 16:25,iPhone客户端,http://weibo.com/1556349391/EEMvQpvlT,漫长岁月,13420,男,上海 宝山区,名人认证,原创,,,,,
#陈羽凡白百何离婚#  网上搜看的出生时间应该大致是正确的，84年3月1日女命八字中官杀代表夫星，而食伤是伤克官杀的。白百合的八字，甲午食伤坐于夫妻宫，表现也明显了些。陈羽凡的八字夫妻宫坐比劫，比劫中又暗藏妻星，也有和人争妻，感情不利的信息。可以简单看看自己八字，女方出生日甲午 乙巳 丙辰 ...全文： http://m.weibo.cn/2483052650/4097194708160431 ?,2017-04-16 16:20,微博 weibo.com,http://weibo.com/2483052650/EEMtEyeTR,择日取名田健均风水,40931,男,广东 广州,高级达人,原创,,,,,
转发微博,2017-04-16 16:09,搜狗高速浏览器,http://weibo.com/1338667624/EEMpjBtwa,汉帝唐皇,759580,男,安徽,名人认证,转发,《白百合：我们还没上床，不算出轨》 ?,简书安卓客户端,2017-04-13 23:38,最佳情感读物,http://weibo.com/5346177024/EEn4dgd3F
四海八荒终于如愿了，张碧晨&杨宗纬歌手舞台演绎《凉凉》，突然有点感谢白百合[二哈]……http://t.cn/RXtmbCk ?,2017-04-16 15:58,微博 weibo.com,http://weibo.com/1919754927/EEMkJ2XaK,广东公共频道,21149,男,广东 广州,媒体认证,原创,,,,,
#长沙生活#白百合发声明回应出轨事件：为了孩子没有对外公布，向大家诚挚道歉。而#白百合小号#被刷到热搜榜首。真真假假，难以道明。早在卓伟刚曝光白百合出轨事件时，便有网友预测白百合发布离婚声明。[doge]接下来的剧情会如何发展，头条君表示……还是继续做吃瓜群众吧[二哈] ?,2017-04-16 15:41,搜狗高速浏览器,http://weibo.com/2309731771/EEMe09uXC,长沙头条,292096,男,湖南 长沙,名人认证,原创,,,,,
白百何发文承认离婚，但是出于孩子的成长考虑，没有公布离婚事实。这样的公关声明一发，陈羽凡不算戴绿帽子，面子保住了，白百合不算出轨，钱袋子保住了，多赢局面[二哈][二哈] ?,2017-04-16 15:40,微博 weibo.com,http://weibo.com/2159714367/EEMdG0dkl,圈里这点事,3165015,女,北京 东城区,名人认证,原创,,,,,
【白百何发声明回应#陈羽凡白百何离婚#一事】白百合刚刚首度回应，她称是出于对孩子成长的考虑，就没有公开离婚，目前白百合陈羽凡都正面回应了 ??。 ?,2017-04-16 15:35,360安全浏览器,http://weibo.com/1718950972/EEMbJuJJz,四川电视台新闻现场,126147,男,四川 成都,媒体认证,原创,,,,,
#陈羽凡白百何离婚#白百何发文承认离婚：家事留给我们处理..疑白百何小号“超级玛丽萌”发文：每个人都参与作恶↓↓这应该是综合考虑后的利益最大化了。这样的公关声明一发，羽凡不算戴绿帽子，面子保住了，白百合不算出轨，钱袋子保住了。经典公关案例，多赢局面！http://t.cn/RX5K4oQ ?,2017-04-16 15:33,微博 weibo.com,http://weibo.com/1558148043/EEMaIdhaZ,全球热门收集,3546176,男,北京 东城区,名人认证,原创,,,,,
"【白百合回应离婚事件】内容如下：感谢所有关心和爱护我们的人，让你们担心了。
对这件事情给羽凡造成的影响感到抱歉，对元宝和四位爸爸妈妈感到抱歉。在孩子面前我们永远是一家人。希望大家给我们一点时间和空间，把我们的家事留给我们自己处理。
婚姻是两个家庭的事情，出于对孩子成长的考虑，为了给...全文： http://m.weibo.cn/1671068657/4097183042616571 ?",2017-04-16 15:33,iPhone 6,http://weibo.com/1671068657/EEMaQaYGL,东南快报,2996605,男,福建 福州,媒体认证,原创,,,,,
#陈羽凡白百何离婚# 4月16日，陈羽凡发视频声明自己和白百何已于2015年协议离婚，并表示两人未将离婚一事公开是要保护孩子成长。这应该是综合考虑后的利益最大化了。这样的公关声明一发，羽凡不算戴绿帽子，面子保住了，白百合不算出轨，钱袋子保住了。经典公关案例，多赢局面！为了孩子保密和镜头面前...全文： http://m.weibo.cn/1809782810/4097182011997293 ?,2017-04-16 15:29,360安全浏览器,http://weibo.com/1809782810/EEM9b8nAp,全娱乐爆料,1144762,男,北京 朝阳区,名人认证,原创,,,,,
【陈羽凡退出娱乐圈 胡海泉：娱乐有圈音乐无界】16日凌晨，陈羽凡发布视频，首度澄清传闻。羽泉组合另一位成员胡海泉微博发布歌曲《我们俩》，并这样回应[泪]↓↓http://t.cn/RXth4ze ???//@直播南京官方版:陈羽凡凌晨回应近期事件：2015就与白百合协议离婚，将无限时退出娱乐圈。,2017-04-16 15:26,iPhone 6s,http://weibo.com/1807431510/EEM7N6LbM,直播南京官方版,2538922,男,江苏 南京,媒体认证,转发,善爱为本度此生[心]感恩爱我的所有人～'涛哥'一直在！All for love… http://t.cn/RX5Xe5y . ?,iPhone 7 Plus,2017-04-16 01:47,陈羽凡,http://weibo.com/2113045567/EEGLn6ydW
#娱乐播报# #白百何出轨##陈羽凡白百何离婚#【白百合发文承认离婚[挖鼻]】今日，白百合发文承认已经离婚：出于对孩子成长的考虑没有对外公布离婚，希望大家给点时间和空间，把家事留给自己处理[摊手] ?,2017-04-16 15:26,360安全浏览器,http://weibo.com/1689474774/EEM7K6zC1,鲁网,2298431,男,山东,媒体认证,原创,,,,,
明星啊，真是乱,2017-04-16 15:25,360安全浏览器,http://weibo.com/2131868565/EEM7DAg5I,凯风社区,16945,男,其他,网站认证,转发,发布了头条文章：《白百何事件暴露有人故意策划，卓伟居然只是他的棋子？》 #白百合陈羽凡# #卓伟回应陈羽凡# http://t.cn/RX5vUMb ?,微博 weibo.com,2017-04-15 22:27,Siayuan芯源,http://weibo.com/3246487042/EEFskzHE9
白百合主场十二连胜。 ?,2017-04-16 15:22,微博 weibo.com,http://weibo.com/1495452561/EEM6ebxJ2,杭之冯玥均建国后成精,1803957,男,北京,名人认证,原创,,,,,
#白百合离婚声明# 针对出轨风波，白百何今天下午首发声明，承认已经离婚，表示为了孩子健康成长，给孩子的童年一个完整的家庭，没有对外公布这一事实，为此给大家带来所有的麻烦，向大家诚挚道歉。 ???,2017-04-16 15:15,iPhone 5s,http://weibo.com/2286174003/EEM3mgyrv,喇叭叔叔,19264,男,北京 东城区,名人认证,原创,,,,,
